CustomerID,Age,TenureYears,Income,NumProducts,MonthlySpend
1,45.0,1.16,60411.0,1,79.38
2,38.6,0.33,49439.0,3,75.43
3,46.5,0.22,80040.0,2,85.41
4,55.2,0.3,35863.0,3,77.53
5,37.7,2.62,64643.0,2,99.39
6,37.7,0.16,20000.0,1,77.0
7,55.8,1.23,43272.0,1,68.63
8,47.7,4.2,52457.0,1,66.69
9,35.3,1.05,91934.0,1,75.97
10,45.4,4.32,83762.0,1,110.99
11,35.4,4.1,58921.0,2,73.1
12,35.3,0.85,84587.0,2,78.98
13,42.4,3.91,87752.0,2,115.25
14,20.9,4.13,66787.0,2,117.37
15,22.8,1.52,42312.0,3,99.18
16,34.4,0.71,65842.0,4,100.95
17,29.9,2.21,68042.0,1,81.62
18,43.1,7.63,45351.0,2,112.41
19,30.9,3.06,77341.0,1,86.78
20,25.9,0.57,75596.0,1,67.05
21,54.7,3.44,78901.0,2,99.14
22,37.7,1.67,75578.0,2,75.04
23,40.7,2.69,84597.0,3,149.45
24,25.8,3.97,66413.0,2,99.22
25,34.6,2.17,74036.0,1,83.86
26,41.1,5.05,62045.0,3,111.74
27,28.5,3.84,58310.0,1,90.56
28,43.8,2.86,96765.0,1,68.44
29,34.0,0.49,29125.0,1,23.1
30,37.1,5.42,87535.0,4,141.76
31,34.0,8.24,57589.0,2,145.24
32,58.5,0.44,54999.0,2,91.78
33,39.9,2.01,75232.0,3,93.02
34,29.4,0.9,40208.0,2,78.64
35,48.2,4.21,53680.0,3,97.75
36,27.8,3.84,53017.0,2,97.15
37,42.1,0.46,65572.0,4,116.01
38,20.4,6.29,53917.0,3,132.49
39,26.7,0.6,102022.0,2,70.72
40,42.0,4.79,105940.0,2,97.27
41,47.4,1.83,29560.0,4,99.63
42,41.7,1.19,80886.0,2,72.79
43,38.8,0.52,87173.0,2,70.84
44,37.0,0.55,80860.0,3,104.26
45,25.2,3.25,56838.0,2,75.7
46,32.8,2.4,65118.0,1,107.12
47,35.4,0.39,55035.0,2,66.11
48,50.6,0.36,61595.0,2,72.06
49,43.4,0.23,45801.0,1,58.81
50,22.4,4.09,67704.0,2,75.42
51,43.2,3.73,39944.0,3,107.17
52,36.1,0.18,65997.0,1,67.54
53,33.2,2.46,45028.0,1,60.3
54,46.1,0.27,74136.0,3,99.91
55,50.3,7.02,56412.0,2,113.79
56,49.3,7.13,75812.0,1,122.22
57,31.6,3.59,91632.0,3,157.38
58,36.9,7.82,101789.0,2,113.98
59,43.3,5.01,20000.0,2,63.47
60,49.8,5.29,53316.0,2,99.03
61,35.2,2.53,63938.0,1,42.18
62,38.1,1.1,79207.0,3,111.96
63,28.9,0.74,36993.0,2,70.51
64,28.0,1.19,50358.0,2,81.96
65,48.1,2.97,72607.0,3,104.1
66,53.6,0.57,71698.0,1,69.94
67,39.3,0.9,77552.0,1,77.62
68,50.0,1.89,78874.0,1,78.72
69,43.6,0.8,76772.0,1,49.4
70,33.5,2.66,73873.0,2,95.65
71,43.6,7.7,71115.0,2,144.64
72,55.4,4.14,83295.0,1,92.15
73,39.6,3.29,25214.0,1,63.62
74,55.6,2.62,100887.0,1,111.4
75,18.0,2.01,25910.0,4,89.88
76,48.2,0.62,48417.0,2,85.56
77,40.9,6.75,65465.0,2,101.97
78,37.0,0.86,83452.0,2,104.06
79,40.9,0.29,20000.0,2,71.38
80,20.1,4.16,69438.0,1,77.98
81,37.8,0.58,85848.0,4,113.31
82,43.6,1.4,89890.0,3,122.49
83,54.8,0.09,56053.0,2,44.58
84,34.8,0.44,63983.0,2,71.33
85,31.9,0.57,57677.0,2,85.47
86,35.0,0.17,62147.0,1,56.23
87,49.2,3.21,49363.0,1,72.53
88,43.3,5.44,52215.0,2,67.38
89,34.7,1.4,78688.0,1,60.83
90,45.1,6.23,72632.0,1,105.23
91,41.0,0.72,79832.0,2,74.24
92,49.7,1.18,74280.0,4,95.79
93,33.0,0.49,84087.0,4,132.22
94,36.7,2.91,87564.0,1,92.4
95,36.1,1.63,35166.0,1,41.02
96,25.4,2.85,52914.0,2,87.93
97,43.0,4.3,65372.0,3,96.73
98,42.6,2.37,69546.0,4,117.29
99,40.1,2.96,56598.0,3,105.1
100,37.7,8.21,88240.0,2,114.3
101,25.8,1.07,109599.0,1,95.73
102,35.8,1.33,73723.0,1,84.75
103,36.6,3.79,71687.0,1,86.7
104,32.0,2.83,86989.0,2,105.42
105,38.4,0.59,32683.0,1,29.28
106,44.0,1.42,70569.0,3,120.62
107,58.9,1.89,89581.0,3,108.36
108,41.7,1.63,57137.0,1,51.93
109,42.6,0.59,45469.0,4,103.24
110,39.3,7.75,66284.0,2,126.46
111,20.8,4.31,68786.0,4,137.33
112,39.7,1.97,51827.0,4,94.32
113,40.6,3.42,111923.0,1,108.21
114,64.6,6.83,60426.0,2,106.66
115,38.1,0.44,46927.0,1,63.54
116,43.0,0.86,68128.0,3,84.46
117,39.7,2.35,88157.0,2,112.7
118,28.3,4.81,70348.0,4,135.3
119,51.4,0.11,79712.0,1,84.93
120,47.5,10.0,52570.0,2,97.78
121,47.9,1.82,99754.0,4,107.74
122,30.9,1.34,81234.0,2,85.84
123,54.0,1.04,90954.0,1,98.17
124,26.0,0.57,77303.0,2,113.66
125,45.9,4.7,86498.0,1,79.62
126,61.9,9.33,52539.0,1,102.81
127,30.1,1.6,60172.0,2,84.7
128,34.3,9.14,96930.0,1,130.39
129,41.0,5.21,101195.0,3,144.76
130,35.0,1.97,47059.0,2,62.1
131,24.5,3.36,74995.0,3,113.25
132,40.7,1.71,61381.0,1,37.97
133,29.4,2.45,56059.0,1,82.18
134,44.7,0.18,75697.0,1,60.95
135,30.8,3.57,92819.0,1,72.2
136,55.5,0.16,79033.0,2,86.95
137,32.2,5.1,63610.0,2,95.61
138,36.8,5.23,80297.0,4,157.28
139,48.1,0.81,62800.0,2,65.55
140,27.7,1.17,78242.0,1,105.88
141,42.3,1.97,97929.0,1,96.77
142,53.1,2.72,28457.0,3,108.93
143,23.9,1.02,85945.0,2,74.51
144,41.8,2.69,39219.0,3,120.92
145,42.6,1.06,94567.0,1,59.86
146,47.8,0.17,57259.0,1,55.38
147,27.6,0.01,45647.0,1,73.24
148,26.8,0.32,83905.0,3,108.16
149,45.2,4.71,77283.0,1,70.74
150,43.0,9.77,50016.0,2,135.78
151,42.5,1.67,44940.0,2,81.35
152,43.5,2.16,66250.0,2,80.94
153,33.2,0.48,45918.0,1,32.82
154,42.3,2.4,48771.0,2,87.97
155,42.9,0.47,72312.0,1,63.73
156,32.9,2.83,50683.0,4,117.0
157,58.7,8.12,78531.0,1,82.68
158,44.7,0.65,99803.0,1,71.77
159,28.1,4.34,67029.0,2,106.07
160,46.6,0.07,72603.0,3,122.35
161,30.3,1.41,110362.0,1,83.42
162,47.9,0.35,46248.0,2,91.67
163,51.6,1.3,93825.0,1,90.51
164,31.8,0.57,91417.0,1,78.18
165,49.6,1.4,87086.0,2,76.37
166,44.1,1.62,95835.0,1,66.76
167,48.2,1.07,75611.0,2,94.62
168,59.0,3.21,58341.0,3,95.9
169,37.5,7.53,91891.0,3,130.27
170,32.5,1.54,92657.0,1,77.26
171,31.1,0.64,92106.0,2,87.86
172,31.8,0.95,70890.0,4,126.85
173,39.2,5.77,55676.0,3,108.57
174,43.4,2.54,73827.0,1,89.16
175,42.8,1.82,88845.0,2,101.16
176,48.3,0.49,90487.0,4,93.27
177,40.1,1.79,61406.0,2,87.94
178,54.5,0.98,76307.0,3,59.97
179,37.4,8.6,43824.0,2,97.19
180,67.2,6.46,89699.0,1,109.33
181,46.3,0.26,54334.0,1,57.7
182,31.4,2.18,85705.0,1,53.93
183,29.3,0.76,47014.0,1,41.16
184,44.8,1.59,90628.0,3,69.91
185,37.8,6.28,76437.0,2,91.92
186,47.1,2.25,54373.0,3,106.47
187,44.7,1.22,83827.0,2,81.13
188,39.3,0.7,58193.0,2,79.34
189,31.5,4.83,84991.0,1,93.62
190,24.9,2.94,64518.0,4,121.44
191,35.5,1.89,35579.0,2,89.18
192,48.6,0.74,50352.0,2,70.52
193,42.1,1.22,61392.0,4,124.26
194,27.5,9.64,97364.0,2,100.38
195,41.7,2.2,88023.0,3,127.84
196,43.9,1.54,102477.0,3,94.2
197,31.2,2.21,103073.0,1,71.45
198,41.5,4.53,59305.0,1,70.75
199,40.6,1.25,66230.0,4,128.97
200,28.6,0.59,61774.0,2,64.67
201,43.6,2.64,56570.0,1,60.87
202,45.6,3.28,33170.0,2,65.09
203,50.8,3.74,69705.0,2,100.1
204,50.5,6.41,44289.0,3,125.61
205,26.2,1.39,69317.0,4,140.66
206,30.6,0.24,112315.0,4,162.38
207,45.2,9.54,59813.0,4,161.2
208,45.1,1.71,73895.0,1,78.45
209,45.2,2.93,88133.0,3,96.48
210,75.0,3.29,75606.0,1,109.29
211,45.7,2.37,75850.0,1,80.26
212,51.4,0.69,62752.0,3,88.87
213,49.5,4.22,65362.0,2,102.78
214,46.5,4.89,50800.0,4,115.0
215,36.8,2.42,86921.0,1,46.87
216,47.6,2.01,35170.0,3,97.48
217,32.3,0.36,89422.0,1,92.95
218,37.6,0.26,41926.0,1,61.51
219,35.1,1.24,89252.0,2,91.96
220,40.8,1.12,62924.0,2,80.93
221,63.1,9.22,45363.0,2,116.11
222,21.3,4.59,81586.0,4,138.28
223,46.9,3.24,88575.0,2,100.49
224,23.9,2.19,61238.0,1,71.3
225,35.3,0.55,84412.0,1,94.98
226,50.9,10.0,24298.0,2,116.48
227,40.6,1.41,43588.0,2,76.04
228,29.2,0.34,95848.0,2,100.25
229,32.8,2.04,65527.0,1,81.53
230,46.8,6.21,32756.0,3,123.16
231,32.7,6.55,56023.0,1,79.02
232,42.2,0.03,51532.0,2,63.51
233,40.5,6.52,66681.0,2,97.07
234,33.5,0.95,62585.0,1,76.48
235,61.4,0.12,73579.0,3,105.15
236,46.3,5.65,68611.0,2,86.39
237,19.7,5.98,97195.0,2,125.26
238,41.9,2.72,78491.0,2,115.53
239,33.4,2.56,79153.0,4,121.14
240,48.5,5.03,93303.0,2,116.93
241,32.1,4.63,62225.0,2,109.23
242,38.9,6.62,44762.0,1,66.25
243,45.0,2.41,94139.0,1,86.85
244,48.7,10.0,72717.0,1,132.91
245,28.0,10.0,72787.0,4,150.58
246,36.7,0.37,57333.0,2,87.38
247,35.3,5.68,57663.0,3,117.03
248,33.5,2.08,86934.0,1,70.24
249,57.7,1.47,89693.0,2,91.25
250,44.0,2.85,85676.0,4,120.5
251,27.4,0.17,85859.0,1,57.26
252,49.2,2.12,81381.0,2,89.05
253,61.2,6.14,72630.0,4,140.15
254,50.3,0.72,66492.0,4,107.4
255,24.8,1.67,94206.0,3,107.49
256,35.2,8.41,62526.0,3,135.62
257,52.7,1.68,77400.0,2,96.94
258,32.9,1.33,53920.0,1,46.27
259,44.4,1.74,56814.0,3,92.52
260,47.7,2.2,65277.0,4,87.27
261,30.7,3.0,53921.0,2,84.41
262,39.4,4.84,85957.0,1,95.85
263,18.0,1.8,43039.0,2,85.45
264,29.8,5.1,71985.0,2,106.93
265,37.5,2.29,72650.0,1,83.8
266,27.5,1.24,33784.0,3,86.06
267,56.3,3.22,61180.0,2,79.94
268,25.7,3.79,75114.0,2,82.71
269,35.6,2.45,78575.0,2,89.87
270,41.3,0.17,65914.0,1,50.71
271,54.4,0.56,83538.0,2,83.98
272,25.6,1.01,67814.0,2,75.22
273,51.6,1.0,70273.0,2,89.03
274,40.1,3.36,75033.0,1,82.53
275,30.2,0.06,88540.0,2,92.7
276,44.6,4.23,56486.0,2,100.23
277,42.0,0.93,60264.0,4,105.98
278,34.0,1.11,56622.0,3,91.62
279,40.7,2.25,63356.0,3,109.1
280,36.1,0.73,98525.0,2,129.86
281,41.1,6.47,81455.0,2,100.08
282,46.6,0.27,47378.0,1,55.72
283,55.9,1.76,57991.0,3,78.6
284,27.6,5.68,77455.0,2,109.44
285,61.3,2.87,51870.0,3,89.35
286,20.5,1.04,55493.0,2,76.17
287,38.5,1.64,96899.0,1,84.33
288,45.9,3.68,57732.0,1,68.97
289,42.8,10.0,89093.0,3,123.8
290,33.8,6.71,95106.0,1,128.16
291,37.9,1.26,55331.0,1,76.07
292,35.1,10.0,52201.0,4,149.07
293,34.1,0.01,64477.0,2,62.6
294,48.5,0.08,48227.0,1,55.73
295,43.6,5.21,72421.0,1,95.32
296,33.1,0.67,65887.0,1,76.45
297,49.0,0.19,77212.0,2,94.49
298,43.1,0.81,97939.0,3,123.9
299,48.1,1.67,86350.0,1,51.51
300,46.3,3.93,79785.0,3,111.83
301,31.7,2.94,30679.0,1,77.1
302,34.4,0.81,78868.0,1,56.93
303,47.5,2.1,104453.0,4,150.34
304,46.1,7.82,20000.0,1,109.07
305,39.8,5.06,83788.0,3,141.7
306,41.2,1.17,66813.0,3,107.47
307,52.8,10.0,53004.0,1,99.11
308,34.1,3.7,86023.0,2,107.31
